active|dateTime|id|imgUrl|title
1|2018-09-20T14:31:04|36491|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/Hair-2018-36491-F.jpg|Theatre students get groovy with ‘Hair’
1|2018-09-19T16:29:25|36545|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/NIB-goes-green-F.jpg|Nursing and Instructional Building goes ‘green’
1|2018-09-19T10:32:17|36522|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/BIPS-36522-F2.jpg|New online degree helps develop core skills for the workplace
1|2018-09-18T16:31:18|36533|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/08/welcome-home-35978-F.jpg|Chancellor Gilliam: Hurricane Florence and spirit of service
1|2018-09-18T13:22:12|36519|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/clocktower-36519-F.jpg|UNCG welcomes 97 new faculty members
1|2018-09-17T15:18:44|36502|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/HEEDAward-36502-F.jpg|UNCG receives 2018 Excellence in Diversity Award
1|2018-09-11T16:27:41|36481|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/Mental_Health_Awareness_36481-F.jpg|UNCG holds events for mental health awareness
1|2018-09-11T11:01:39|36456|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/weather-alert-36456-F.jpg|UNCG to cancel classes, all activities beginning Wednesday at noon
1|2018-09-10T14:43:59|36413|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/1960s-fall-events-36413-F.jpg|UNCG presents yearlong event series exploring the 1960s
1|2018-09-10T14:05:18|36379|https://newsandfeatures.uncg.edu/wp-content/uploads/2018/09/key-rankings-36379-F.jpg|UNCG on a roll with recognition in national rankings
